activity_name,best_match,confidence_score,category
كهرباء معماري,ﺣرﻓﻲ ﻛﻬرﺑﺎﺋﻲ  ﻓﻲ اﻟﺑﻧﺎﻳﺎت ﺗرﻛﻳب اﻟﻛﻬرﺑﺎء,0.868,rejected because has rejistre comercial or hirafi
منظم مزادات بيع المقتنيات الثمينة,تجارة بالتجزئة للأشرطة و الأسطوانات ( تاجر الأسطوانات,0.851,rejected because has rejistre comercial or hirafi
